데이터 구분,개설년도,개설학기,개설대학,개설학과,이수구분,학년,과목코드,분반,과목명,학점,담당교수,강의시간(실제),강의실정보,수강정원,수강신청인원,꾸러미신청인원,비고
공학전공1,2024,1학기,공과대학,기계공학부 기계공학전공,공학전공,4,MECH0521,1,내연기관,3,홍정구,"수 13:30 ~ 15:00,월 15:00 ~ 16:30",산격동 캠퍼스  공대6호관,60,50,10,
공학전공1,2024,1학기,공과대학,기계공학부 기계공학전공,공학전공,4,MECH0542,1,졸업과제 1,3,김성열,"월 09:00 ~ 10:00,월 10:00 ~ 11:00,월 11:00 ~ 12:00,월 12:00 ~ 13:00",산격동 캠퍼스  공대6호관,100,98,97,<b>SU평가강좌</b> 
공학전공1,2024,1학기,공과대학,기계공학부 기계설계학전공,공학전공,4,MECH0422,1,유한요소해석기초,3,최수민,"화 15:00 ~ 16:30,목 16:30 ~ 18:00",산격동 캠퍼스  공대6호관,50,46,47,
공학전공1,2024,1학기,공과대학,기계공학부 기계설계학전공,공학전공,4,MECH0475,1,정밀가공학,3,정영훈,"목 10:30 ~ 12:00,화 16:30 ~ 18:00",산격동 캠퍼스  공대6호관,50,42,42,
공학전공1,2024,1학기,공과대학,기계공학부 기계설계학전공,공학전공,4,MECH0588,1,메카트로닉스실험,3,이영중,"수 15:00 ~ 16:00,수 16:00 ~ 17:00,수 17:00 ~ 18:00,수 18:00 ~ 19:00",산격동 캠퍼스  공대12호관,40,23,24,(한국어+영어) 
공학전공1,2024,1학기,공과대학,기계공학부 기계설계학전공,공학전공,4,MECH0589,1,샤시 및 차량동역학,3,한경석,"목 15:00 ~ 16:30,월 16:30 ~ 18:00",산격동 캠퍼스  공대6호관,58,48,58,
공학전공1,2024,1학기,공과대학,기계공학부 기계설계학전공,공학전공,4,MECH0592,1,공학응용인공지능,3,최상헌,"화 09:00 ~ 10:00,화 10:00 ~ 11:00,화 11:00 ~ 12:00",산격동 캠퍼스  공대12호관,50,17,5,(한국어+영어) 
공학전공1,2024,1학기,공과대학,고분자공학과,공학전공,4,POLY0212,1,고분자융합소재설계,3,"윤근병,현동춘","수 10:30 ~ 12:00,월 10:30 ~ 12:00",산격동 캠퍼스  공대9호관,65,25,23,
공학전공1,2024,1학기,공과대학,고분자공학과,공학전공,4,POLY0415,1,고분자 R&D 창의적 종합 설계,4,이동윤,"월 18:00 ~ 19:00,화 18:00 ~ 19:00,월 19:00 ~ 20:00,화 19:00 ~ 20:00,월 20:00 ~ 21:00",산격동 캠퍼스  공대9호관,65,25,22,<b>SU평가강좌</b> 
공학전공1,2024,1학기,공과대학,고분자공학과,공학전공,4,POLY0431,1,고분자물성실험,2,윤근병,"금 14:00 ~ 15:00,금 15:00 ~ 16:00,금 16:00 ~ 17:00,금 17:00 ~ 18:00",산격동 캠퍼스  공대12호관,65,11,12,
공학전공1,2024,1학기,공과대학,고분자공학과,공학전공,4,POLY0451,1,고분자가공,3,이동윤,"목 15:00 ~ 16:30,화 15:00 ~ 16:30",산격동 캠퍼스  공대9호관,65,31,26,플립드러닝강좌 
